question.id,,question.ask,,,,,,,,,,question.explanation,,,,,,,question.correctAnswer,,,question.incorrectAnswer1,,,question.incorrectAnswer2,,,question.incorrectAnswer3
1,,Which of these is NOT one of the 'Mother Sauces' of French cuisine?,,,,,,,,,,"Bolognese is a complex, Italian sauce.",,,,,,,bolognese,,,veloute,,,bechamel,,,espagnole
2,,Which of these pasta shapes is said to resemble a radiator?,,,,,,,,,,"Radiatori, obviously!",,,,,,,radiatori,,,rotelle,,,rotini,,,vermicelli
3,,Which of these is NOT a 'good' source of vitamin B12?,,,,,,,,,,"Absorbable Vitamin B12 is found in higher concentrations in animalian organisms, large and microscopic.",,,,,,,spinach,,,beef liver,,,unwashed fruit,,,cheese
4,,"How many of these are noodle soup dishes?: pho, ramen, kake udon, yaki udon, bun bo hue, bun thit nuong",,,,,,,,,,Yaki udon is panfried.  Bun thit nuong is a dry noodle bowl topped with pork.,,,,,,,4,,,0,,,2,,,6
5,,What is 'kedgeree'?,,,,,,,,,,Kedgeree is thought to have origins in a rice-and-lentil dish from the 12th century!,,,,,,,"An Indian-influenced British dish of rice, smoked fish, and eggs.",,,An Australian dish of roasted emu.,,,"A New Zealander dessert of meringue, nuts, and chocolate flakes.",,,A British-influenced Hong Kong-style tea time treat of puff pastry and red bean paste.
6,,Which food celebrity refused to meet with a Make-a-Wish child not once but twice?,,,,,,,,,,"Too much time in The Hamptons, Barefoot Contessa?",,,,,,,Ina Garten,,,Sandra Lee,,,Cat Cora,,,Aarti Sequeira
7,,Which of these famous chefs is NOT known for updating traditional recipes with modern or fusion twists?,,,,,,,,,,Don't let the Crocks fool you; Chef Mario is all about traditional Italian.,,,,,,,Mario Batali,,,Marcus Samuelsson,,,Ming Tsai,,,Rick Bayless
8,,Which of the following would be the best for creating several slices of potato of equal thickness?,,,,,,,,,,"The mandoline is ideal for repeated, uniform slicing.",,,,,,,mandoline,,,apple cutter,,,fillet knife,,,egg slicer
9,,Which of the following is NOT suitable for vegans?,,,,,,,,,,"Lay's Salt & Vinegar contains lactose, which is derived from dairy products",,,,,,,Lay's Salt & Vinegar chips,,,Spicy Sweet Chili Doritos,,,Hubba Bubba gum,,,Oreo cookies
10,,"By the original Reinheitsgebot, which of the following is NOT an allowed ingredient for beer production?",,,,,,,,,,The allowance of yeast in beer production was not explicitly stated until the text was expanded in 1993.,,,,,,,yeast,,,water,,,barley,,,hops
11,,What is the difference between Spanish chorizo and Mexican chorizo?,,,,,,,,,,Mexican chorizo is fresh; Spanish chorizo is cured and/or smoked.,,,,,,,Spanish chorizo is strictly pork; Mexican chorizo is a blend of meats.,,,Mexican chorizo is reserved for special occasions; Spanish chorizo is an 'everyday' food.,,,There is no difference.,,,
